sample_nr,DATA_1,MASKSET_1,MASKSET_1_HDR,VOXELIZED,MASK_DESC_0,MASK_DESC_1
020M 27+5,done/020M27+5_CT - Cropped_1.rdata,done\020M27+5_CT - Cropped_1.maskSet,done\020M27+5_CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
021-236,done/021-236 _CT - Cropped_1.rdata,done\021-236 _CT - Cropped_1.maskSet,done\021-236 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2021_3_24_15_0_36__MASK_0_0.mask,
022-244,done/022-244 _CT - Cropped_1.rdata,done\022-244 _CT - Cropped_1.maskSet,done\022-244 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2019_11_21_14_41_52__MASK_0_0.mask,done/2019_11_21_14_41_54__MASK_1_0.mask
023M 25+0,done/023M25+0_CT - Cropped_1.rdata,done\023M25+0_CT - Cropped_1.maskSet,done\023M25+0_CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,done/2021_3_19_15_4_18__MASK_1_0.mask
024M 22+2,done/024M22+2_CT - Cropped_1.rdata,done\024M22+2_CT - Cropped_1.maskSet,done\024M22+2_CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,done/2021_3_19_15_13_43__MASK_1_0.mask
025M 22+5,done/025M22+5_CT - Cropped_1.rdata,done\025M22+5_CT - Cropped_1.maskSet,done\025M22+5_CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2021_3_22_15_6_13__MASK_0_0.mask,done/2021_3_22_15_6_13__MASK_1_0.mask
026F 19+2,done/026F19+2_CT - Cropped_1.rdata,done\026F19+2_CT - Cropped_1.maskSet,done\026F19+2_CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
027-284,done/027-284 _CT - Cropped_1.rdata,done\027-284 _CT - Cropped_1.maskSet,done\027-284 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
029F 28+1,done/029F28+1_CT - Cropped_1.rdata,done\029F28+1_CT - Cropped_1.maskSet,done\029F28+1_CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
030F 27+2,done/030F27+2_CT - Cropped_1.rdata,done\030F27+2_CT - Cropped_1.maskSet,done\030F27+2_CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
031-255,done/031-255 _CT - Cropped_1.rdata,done\031-255 _CT - Cropped_1.maskSet,done\031-255 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2021_3_24_15_3_39__MASK_0_0.mask,done/2021_3_24_15_3_39__MASK_1_0.mask
032M 25+5,done/032M25+5_CT - Cropped_1.rdata,done\032M25+5_CT - Cropped_1.maskSet,done\032M25+5_CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
033-171,done/033-171 _CT - Cropped_1.rdata,done\033-171 _CT - Cropped_1.maskSet,done\033-171 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2019_11_21_15_0_53__MASK_0_0.mask,done/2019_11_21_15_0_53__MASK_1_0.mask
034-322,done-punkt/034-322 _CT - Cropped_1.rdata,done-punkt\034-322 _CT - Cropped_1.maskSet,done-punkt\034-322 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
035M 25+0,done/035M-25+0 _CT - Cropped_1.rdata,done\035M-25+0 _CT - Cropped_1.maskSet,done\035M-25+0 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
036-272,done/036-272 _CT - Cropped_1.rdata,done\036-272 _CT - Cropped_1.maskSet,done\036-272 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2019_11_21_15_37_51__MASK_0_0.mask,done/2019_11_21_15_37_51__MASK_1_0.mask
037-184,done/037-184 _CT - Cropped_1.rdata,done\037-184 _CT - Cropped_1.maskSet,done\037-184 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
038-200,done/038-200 _CT - Cropped_1.rdata,done\038-200 _CT - Cropped_1.maskSet,done\038-200 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2019_11_21_15_54_35__MASK_0_0.mask,done/2019_11_21_15_54_36__MASK_1_0.mask
039-233,done/039-233 _CT - Cropped_1.rdata,done\039-233 _CT - Cropped_1.maskSet,done\039-233 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2019_11_22_13_6_50__MASK_0_0.mask,
040-302,done/040-302 _CT - Cropped_1.rdata,done\040-302 _CT - Cropped_1.maskSet,done\040-302 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
041-225,done/041-225 _CT - Cropped_1.rdata,done\041-225 _CT - Cropped_1.maskSet,done\041-225 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2019_11_22_13_32_18__MASK_0_0.mask,
042M 20+0,done/042M-20+0 _CT - Cropped_1.rdata,done\042M-20+0 _CT - Cropped_1.maskSet,done\042M-20+0 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
043-250,done/043-250 _CT - Cropped_1.rdata,done\043-250 _CT - Cropped_1.maskSet,done\043-250 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2019_11_22_13_39_15__MASK_0_0.mask,
044M 23+6,done/044M23+6_CT - Cropped_1.rdata,done\044M23+6_CT - Cropped_1.maskSet,done\044M23+6_CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
045F 25+5,done/045F-25+5 _CT - Cropped_1.rdata,done\045F-25+5 _CT - Cropped_1.maskSet,done\045F-25+5 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2021_3_22_15_28_45__MASK_0_0.mask,done/2021_3_22_15_28_45__MASK_1_0.mask
046M 25+0,done/046M25+0_CT - Cropped_1.rdata,done\046M25+0_CT - Cropped_1.maskSet,done\046M25+0_CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
047-275,done/047-275 _CT - Cropped_1.rdata,done\047-275 _CT - Cropped_1.maskSet,done\047-275 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2019_11_22_17_5_33__MASK_0_0.mask,
048M 21+4,done/048M21+4_CT - Cropped_1.rdata,done\048M21+4_CT - Cropped_1.maskSet,done\048M21+4_CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2021_3_22_15_43_57__MASK_0_0.mask,done/2021_3_22_15_43_57__MASK_1_0.mask
049M 25+0,done/049M25+0_CT - Cropped_1.rdata,done\049M25+0_CT - Cropped_1.maskSet,done\049M25+0_CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2021_3_23_8_15_5__MASK_0_0.mask,done/2021_3_23_8_15_5__MASK_1_0.mask
050-250,done/050-250 _CT - Cropped_1.rdata,done\050-250 _CT - Cropped_1.maskSet,done\050-250 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2019_11_22_17_10_24__MASK_0_0.mask,
051-290,done/051-290 _CT - Cropped_1.rdata,done\051-290 _CT - Cropped_1.maskSet,done\051-290 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2019_11_22_17_16_34__MASK_0_0.mask,
052-313,done/052-313 _CT - Cropped_1.rdata,done\052-313 _CT - Cropped_1.maskSet,done\052-313 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
053-214,done/053-214 _CT - Cropped_1.rdata,done\053-214 _CT - Cropped_1.maskSet,done\053-214 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
054M 23+5,done/054M-23+5 _CT - Cropped_1.rdata,done\054M-23+5 _CT - Cropped_1.maskSet,done\054M-23+5 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
055-261,done/055-261 _CT - Cropped_1.rdata,done\055-261 _CT - Cropped_1.maskSet,done\055-261 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
056-293,done/056-293 _CT - Cropped_1.rdata,done\056-293 _CT - Cropped_1.maskSet,done\056-293 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2019_11_23_13_42_54__MASK_0_0.mask,
057-302,done/057-302 _CT - Cropped_1.rdata,done\057-302 _CT - Cropped_1.maskSet,done\057-302 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
058-222,done/058-222 _CT - Cropped_1.rdata,done\058-222 _CT - Cropped_1.maskSet,done\058-222 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2019_11_23_14_2_28__MASK_0_0.mask,
059M 23+3,done/059M23+3_CT - Cropped_1.rdata,done\059M23+3_CT - Cropped_1.maskSet,done\059M23+3_CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
060-275,done/060-275 _CT - Cropped_1.rdata,done\060-275 _CT - Cropped_1.maskSet,done\060-275 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
061-275,done/061-275 _CT - Cropped_1.rdata,done\061-275 _CT - Cropped_1.maskSet,done\061-275 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
062F 27+5,done/062F27+5_CT - Cropped_1.rdata,done\062F27+5_CT - Cropped_1.maskSet,done\062F27+5_CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2021_3_23_13_17_15__MASK_0_0.mask,done/2021_3_23_13_17_15__MASK_1_0.mask
063-264,done/063-264 _CT - Cropped_1.rdata,done\063-264 _CT - Cropped_1.maskSet,done\063-264 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2019_11_23_15_16_46__MASK_0_0.mask,
064M 23+3,done/064M-23+3 _CT - Cropped_1.rdata,done\064M-23+3 _CT - Cropped_1.maskSet,done\064M-23+3 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
065-296,done/065-296 _CT - Cropped_1.rdata,done\065-296 _CT - Cropped_1.maskSet,done\065-296 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2019_11_23_15_22_29__MASK_0_0.mask,
066-270,done/066-270 _CT - Cropped_1.rdata,done\066-270 _CT - Cropped_1.maskSet,done\066-270 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2019_11_23_15_26_18__MASK_0_0.mask,
067F 22+5,done/067F-22+5 _CT - Cropped_1.rdata,done\067F-22+5 _CT - Cropped_1.maskSet,done\067F-22+5 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
068M 22+5,done/068M22+5_CT - Cropped_1.rdata,done\068M22+5_CT - Cropped_1.maskSet,done\068M22+5_CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2021_3_23_13_30_14__MASK_0_0.mask,done/2021_3_23_13_30_14__MASK_1_0.mask
069M 18+5,done/069M18+5_CT - Cropped_1.rdata,done\069M18+5_CT - Cropped_1.maskSet,done\069M18+5_CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2021_3_23_13_36_10__MASK_0_0.mask,done/2021_3_23_13_36_10__MASK_1_0.mask
070M 26+1,done/070M-26+1 _CT - Cropped_1.rdata,done\070M-26+1 _CT - Cropped_1.maskSet,done\070M-26+1 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2021_3_23_13_40_6__MASK_0_0.mask,
071F 24+2,done/071F-24+2 _CT - Cropped_1.rdata,done\071F-24+2 _CT - Cropped_1.maskSet,done\071F-24+2 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
072F 27+3,done/072F27+3_CT - Cropped_1.rdata,done\072F27+3_CT - Cropped_1.maskSet,done\072F27+3_CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2021_3_23_14_49_6__MASK_0_0.mask,done/2021_3_23_14_49_6__MASK_1_0.mask
073F 31+4,done/073F31+4_CT - Cropped_1.rdata,done\073F31+4_CT - Cropped_1.maskSet,done\073F31+4_CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2021_3_23_14_57_9__MASK_0_0.mask,done/2021_3_23_14_57_9__MASK_1_0.mask
074-335,done/074-335 _CT - Cropped_1.rdata,done\074-335 _CT - Cropped_1.maskSet,done\074-335 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2019_11_23_15_47_22__MASK_0_0.mask,
075-261,done/075-261 _CT - Cropped_1.rdata,done\075-261 _CT - Cropped_1.maskSet,done\075-261 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2019_11_23_15_52_4__MASK_0_0.mask,
076-225,done/076-225 _CT - Cropped_1.rdata,done\076-225 _CT - Cropped_1.maskSet,done\076-225 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
077-256,done/077-256 _CT - Cropped_1.rdata,done\077-256 _CT - Cropped_1.maskSet,done\077-256 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
078-253,done/078-253 _CT - Cropped_1.rdata,done\078-253 _CT - Cropped_1.maskSet,done\078-253 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2019_11_23_16_12_39__MASK_0_0.mask,
079M 19+5,done/079M-19+5 _CT - Cropped_1.rdata,done\079M-19+5 _CT - Cropped_1.maskSet,done\079M-19+5 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
080-296,done/080-296 _CT - Cropped_1.rdata,done\080-296 _CT - Cropped_1.maskSet,done\080-296 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2019_11_23_16_17_48__MASK_0_0.mask,
084-273,done/084-273 _CT - Cropped_1.rdata,done\084-273 _CT - Cropped_1.maskSet,done\084-273 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2021_3_24_15_12_55__MASK_0_0.mask,done/2021_3_24_15_12_55__MASK_1_0.mask
085F 25+3,done/085F25+3_CT - Cropped_1.rdata,done\085F25+3_CT - Cropped_1.maskSet,done\085F25+3_CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
086-256,done/086-256 _CT - Cropped_1.rdata,done\086-256 _CT - Cropped_1.maskSet,done\086-256 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2019_11_23_16_26_44__MASK_0_0.mask,
087-236,done/087-236 _CT - Cropped_1.rdata,done\087-236 _CT - Cropped_1.maskSet,done\087-236 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2019_11_23_16_34_9__MASK_0_0.mask,
088-231,done/088-231 _CT - Cropped_1.rdata,done\088-231 _CT - Cropped_1.maskSet,done\088-231 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2019_11_23_16_37_14__MASK_0_0.mask,
090-220,done/090-220 _CT - Cropped_1.rdata,done\090-220 _CT - Cropped_1.maskSet,done\090-220 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2019_11_23_16_41_17__MASK_0_0.mask,
091-270,done/091-270 _CT - Cropped_1.rdata,done\091-270 _CT - Cropped_1.maskSet,done\091-270 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2019_11_23_16_44_36__MASK_0_0.mask,
092M 23+3,done/092M-23+3 _CT - Cropped_1.rdata,done\092M-23+3 _CT - Cropped_1.maskSet,done\092M-23+3 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
093-326,done/093-326 _CT - Cropped_1.rdata,done\093-326 _CT - Cropped_1.maskSet,done\093-326 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2019_11_23_16_47_59__MASK_0_0.mask,
094-356,done/094-356 _CT - Cropped_1.rdata,done\094-356 _CT - Cropped_1.maskSet,done\094-356 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
096F 20+5,done/096F-20+5 _CT - Cropped_1.rdata,done\096F-20+5 _CT - Cropped_1.maskSet,done\096F-20+5 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
104-374,done/104-374 _CT - Cropped_1.rdata,done\104-374 _CT - Cropped_1.maskSet,done\104-374 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2019_11_23_17_8_14__MASK_0_0.mask,
105-323,data/105-323 _CT - Cropped_1.rdata,data\105-323 _CT - Cropped_1.maskSet,data\105-323 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
106-341,done/106-341 _CT - Cropped_1.rdata,done\106-341 _CT - Cropped_1.maskSet,done\106-341 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2019_11_23_17_23_26__MASK_0_0.mask,
107M 19+2,done/107M-19+2 _CT - Cropped_1.rdata,done\107M-19+2 _CT - Cropped_1.maskSet,done\107M-19+2 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
109M 21+3,done/109M-21+3 _CT - Cropped_1.rdata,done\109M-21+3 _CT - Cropped_1.maskSet,done\109M-21+3 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2021_3_24_14_23_31__MASK_0_0.mask,done/2021_3_24_14_23_31__MASK_1_0.mask
KAP 104,done/KAP104_CT - Cropped_1.rdata,done\KAP104_CT - Cropped_1.maskSet,done\KAP104_CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2021_3_24_14_50_41__MASK_0_0.mask,done/2021_3_24_14_50_41__MASK_1_0.mask
KAP 303,done/KAP303_CT - Cropped_1.rdata,done\KAP303_CT - Cropped_1.maskSet,done\KAP303_CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2021_3_24_14_41_55__MASK_0_0.mask,done/2021_3_24_14_41_55__MASK_1_0.mask
