,sample_nr,type,ct,mk,ok
11,006-293,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\006-293\done\006-293 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\006-293\done\voxelizedSurfaces.rdata,True
12,007-275,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\007-275\done\007-275 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\007-275\done\voxelizedSurfaces.rdata,True
13,007-275,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\007-275\done\007-275 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\007-275\done\voxelizedSurfaces.rdata,True
14,008-290,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\008-290\done\008-290 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\008-290\done\voxelizedSurfaces.rdata,True
15,008-290,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\008-290\done\008-290 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\008-290\done\voxelizedSurfaces.rdata,True
16,009F 29+6,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\009F 29+6\done\009F29+6_CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\009F 29+6\done\voxelizedSurfaces.rdata,True
17,009F 29+6,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\009F 29+6\done\009F29+6_CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\009F 29+6\done\voxelizedSurfaces.rdata,True
18,010F 24+1,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\010F 24+1\done\010F24+1_CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\010F 24+1\done\voxelizedSurfaces.rdata,True
19,010F 24+1,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\010F 24+1\done\010F24+1_CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\010F 24+1\done\voxelizedSurfaces.rdata,True
20,011-200,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\011-200\tyylko crop\011-200 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\011-200\done\voxelizedSurfaces.rdata,False
21,011-200,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\011-200\tyylko crop\011-200 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\011-200\done\voxelizedSurfaces.rdata,False
22,013-290,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\013-290\done\013-290 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\013-290\done\voxelizedSurfaces.rdata,True
23,013-290,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\013-290\done\013-290 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\013-290\done\voxelizedSurfaces.rdata,True
24,014M 23+3,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\014M 23+3\done\014M23+3_CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\014M 23+3\done\voxelizedSurfaces.rdata,True
25,014M 23+3,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\014M 23+3\done\014M23+3_CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\014M 23+3\done\voxelizedSurfaces.rdata,True
26,015F 27+5,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\015F 27+5\done\015F-27+5 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\015F 27+5\done\voxelizedSurfaces.rdata,True
27,015F 27+5,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\015F 27+5\done\015F-27+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\015F 27+5\done\voxelizedSurfaces.rdata,True
28,016-250,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\016-250\done\016-250 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\016-250\done\voxelizedSurfaces.rdata,True
29,016-250,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\016-250\done\016-250 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\016-250\done\voxelizedSurfaces.rdata,True
30,017M 29+6,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\017M 29+6\done\017M-29+6 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\017M 29+6\done\voxelizedSurfaces.rdata,True
31,017M 29+6,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\017M 29+6\done\017M-29+6 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\017M 29+6\done\voxelizedSurfaces.rdata,True
32,018F 25+0,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\018F 25+0\done\018F25+0_CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\018F 25+0\done\voxelizedSurfaces.rdata,False
33,018F 25+0,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\018F 25+0\done\018F25+0_CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\018F 25+0\done\voxelizedSurfaces.rdata,False
34,019F 20+6,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\019F 20+6\done\019F20+6_CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\019F 20+6\done\voxelizedSurfaces.rdata,True
35,019F 20+6,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\019F 20+6\done\019F20+6_CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\019F 20+6\done\voxelizedSurfaces.rdata,True
36,020M 27+5,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\020M 27+5\done\020M27+5_CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\020M 27+5\done\voxelizedSurfaces.rdata,True
37,020M 27+5,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\020M 27+5\done\020M27+5_CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\020M 27+5\done\voxelizedSurfaces.rdata,True
38,021-236,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\021-236\done\021-236 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\021-236\done\voxelizedSurfaces.rdata,True
39,021-236,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\021-236\done\021-236 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\021-236\done\voxelizedSurfaces.rdata,True
40,022-244,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\022-244\done\022-244 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\022-244\done\voxelizedSurfaces.rdata,True
41,022-244,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\022-244\done\022-244 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\022-244\done\voxelizedSurfaces.rdata,True
42,023M 25+0,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\023M 25+0\done\023M25+0_CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\023M 25+0\done\voxelizedSurfaces.rdata,True
43,023M 25+0,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\023M 25+0\done\023M25+0_CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\023M 25+0\done\voxelizedSurfaces.rdata,True
44,024M 22+2,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\024M 22+2\done\024M22+2_CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\024M 22+2\done\voxelizedSurfaces.rdata,True
45,024M 22+2,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\024M 22+2\done\024M22+2_CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\024M 22+2\done\voxelizedSurfaces.rdata,True
46,025M 22+5,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\025M 22+5\done\025M22+5_CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\025M 22+5\done\voxelizedSurfaces.rdata,True
47,025M 22+5,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\025M 22+5\done\025M22+5_CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\025M 22+5\done\voxelizedSurfaces.rdata,True
48,026F 19+2,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\026F 19+2\done\026F19+2_CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\026F 19+2\done\voxelizedSurfaces.rdata,True
49,026F 19+2,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\026F 19+2\done\026F19+2_CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\026F 19+2\done\voxelizedSurfaces.rdata,True
50,027-284,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\027-284\done\027-284 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\027-284\done\voxelizedSurfaces.rdata,True
51,027-284,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\027-284\done\027-284 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\027-284\done\voxelizedSurfaces.rdata,True
52,029F 28+1,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\029F 28+1\done\029F28+1_CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\029F 28+1\done\voxelizedSurfaces.rdata,True
53,029F 28+1,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\029F 28+1\done\029F28+1_CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\029F 28+1\done\voxelizedSurfaces.rdata,True
54,030F 27+2,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\030F 27+2\done\030F27+2_CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\030F 27+2\done\voxelizedSurfaces.rdata,True
55,030F 27+2,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\030F 27+2\done\030F27+2_CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\030F 27+2\done\voxelizedSurfaces.rdata,True
56,031-255,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\031-255\done\031-255 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\031-255\done\voxelizedSurfaces.rdata,True
57,031-255,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\031-255\done\031-255 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\031-255\done\voxelizedSurfaces.rdata,True
58,032M 25+5,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\032M 25+5\done\032M25+5_CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\032M 25+5\done\voxelizedSurfaces.rdata,False
59,032M 25+5,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\032M 25+5\done\032M25+5_CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\032M 25+5\done\voxelizedSurfaces.rdata,False
60,033-171,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\033-171\done\033-171 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\033-171\done\voxelizedSurfaces.rdata,True
61,033-171,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\033-171\done\033-171 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\033-171\done\voxelizedSurfaces.rdata,True
62,034-322,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\034-322\done-punkt\034-322 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\034-322\done\voxelizedSurfaces.rdata,False
63,034-322,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\034-322\done-punkt\034-322 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\034-322\done\voxelizedSurfaces.rdata,False
64,035M 25+0,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\035M 25+0\done\035M-25+0 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\035M 25+0\done\voxelizedSurfaces.rdata,True
65,035M 25+0,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\035M 25+0\done\035M-25+0 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\035M 25+0\done\voxelizedSurfaces.rdata,True
66,036-272,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\036-272\done\036-272 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\036-272\done\voxelizedSurfaces.rdata,True
67,036-272,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\036-272\done\036-272 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\036-272\done\voxelizedSurfaces.rdata,True
68,037-184,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\037-184\done\037-184 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\037-184\done\voxelizedSurfaces.rdata,True
69,037-184,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\037-184\done\037-184 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\037-184\done\voxelizedSurfaces.rdata,True
70,038-200,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\038-200\done\038-200 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\038-200\done\voxelizedSurfaces.rdata,True
71,038-200,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\038-200\done\038-200 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\038-200\done\voxelizedSurfaces.rdata,True
72,039-233,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\039-233\done\039-233 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\039-233\done\voxelizedSurfaces.rdata,True
73,039-233,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\039-233\done\039-233 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\039-233\done\voxelizedSurfaces.rdata,True
74,040-302,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\040-302\done\040-302 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\040-302\done\voxelizedSurfaces.rdata,True
75,040-302,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\040-302\done\040-302 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\040-302\done\voxelizedSurfaces.rdata,True
76,041-225,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\041-225\done\041-225 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\041-225\done\voxelizedSurfaces.rdata,True
77,041-225,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\041-225\done\041-225 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\041-225\done\voxelizedSurfaces.rdata,True
78,042M 20+0,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\042M 20+0\done\042M-20+0 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\042M 20+0\done\voxelizedSurfaces.rdata,True
79,042M 20+0,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\042M 20+0\done\042M-20+0 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\042M 20+0\done\voxelizedSurfaces.rdata,True
80,043-250,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\043-250\done\043-250 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\043-250\done\voxelizedSurfaces.rdata,True
81,043-250,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\043-250\done\043-250 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\043-250\done\voxelizedSurfaces.rdata,True
82,044M 23+6,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\044M 23+6\done\044M23+6_CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\044M 23+6\done\voxelizedSurfaces.rdata,True
83,044M 23+6,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\044M 23+6\done\044M23+6_CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\044M 23+6\done\voxelizedSurfaces.rdata,True
84,045F 25+5,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\045F 25+5\done\045F-25+5 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\045F 25+5\done\voxelizedSurfaces.rdata,True
85,045F 25+5,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\045F 25+5\done\045F-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\045F 25+5\done\voxelizedSurfaces.rdata,True
86,046M 25+0,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\046M 25+0\done\046M25+0_CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\046M 25+0\done\voxelizedSurfaces.rdata,True
87,046M 25+0,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\046M 25+0\done\046M25+0_CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\046M 25+0\done\voxelizedSurfaces.rdata,True
88,047-275,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\047-275\done\047-275 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\047-275\done\voxelizedSurfaces.rdata,True
89,047-275,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\047-275\done\047-275 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\047-275\done\voxelizedSurfaces.rdata,True
90,048M 21+4,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\048M 21+4\done\048M21+4_CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\048M 21+4\done\voxelizedSurfaces.rdata,True
91,048M 21+4,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\048M 21+4\done\048M21+4_CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\048M 21+4\done\voxelizedSurfaces.rdata,True
92,049M 25+0,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\049M 25+0\done\049M25+0_CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\049M 25+0\done\voxelizedSurfaces.rdata,True
93,049M 25+0,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\049M 25+0\done\049M25+0_CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\049M 25+0\done\voxelizedSurfaces.rdata,True
94,050-250,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\050-250\done\050-250 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\050-250\done\voxelizedSurfaces.rdata,True
95,050-250,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\050-250\done\050-250 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\050-250\done\voxelizedSurfaces.rdata,True
96,051-290,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\051-290\done\051-290 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\051-290\done\voxelizedSurfaces.rdata,False
97,051-290,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\051-290\done\051-290 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\051-290\done\voxelizedSurfaces.rdata,False
98,052-313,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\052-313\done\052-313 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\052-313\done\voxelizedSurfaces.rdata,True
99,052-313,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\052-313\done\052-313 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\052-313\done\voxelizedSurfaces.rdata,True
100,053-214,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\053-214\done\053-214 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\053-214\done\voxelizedSurfaces.rdata,True
101,053-214,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\053-214\done\053-214 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\053-214\done\voxelizedSurfaces.rdata,True
102,054M 23+5,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\054M 23+5\done\054M-23+5 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\054M 23+5\done\voxelizedSurfaces.rdata,True
103,054M 23+5,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\054M 23+5\done\054M-23+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\054M 23+5\done\voxelizedSurfaces.rdata,True
104,055-261,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\055-261\done\055-261 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\055-261\done\voxelizedSurfaces.rdata,True
105,055-261,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\055-261\done\055-261 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\055-261\done\voxelizedSurfaces.rdata,True
106,056-293,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\056-293\done\056-293 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\056-293\done\voxelizedSurfaces.rdata,True
107,056-293,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\056-293\done\056-293 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\056-293\done\voxelizedSurfaces.rdata,True
108,057-302,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\057-302\done\057-302 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\057-302\done\voxelizedSurfaces.rdata,True
109,057-302,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\057-302\done\057-302 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\057-302\done\voxelizedSurfaces.rdata,True
